time_s,cx,cy,cz,theta,bed_FB,FB_group,bed_LR,bed_height,bed_spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone,obj_cx,obj_cy,obj_cz,obj_spread
0.77,0.0,-0.6935970188734626,7.390242793537776e-09,-1.5707963267948966,-0.6935970936516082,-0.8008968502744961,0.0,1.477947636054141e-08,0.7203631675167831,0.0,-0.6935970188734626,7.390242793537776e-09,-0.6935872926835263,0.1510200951237661,rear_center_mid,0.0,-0.8460038265589432,0.0,0.0
0.78,0.0,-0.6920827852398318,7.3790785088163065e-09,-1.5707963267948966,-0.6920826541692094,-0.799148363883775,0.0,1.4757203329018698e-08,0.7218182739424105,0.0,-0.6920827852398318,7.3790785088163065e-09,-0.6920721995938832,0.1520340815226784,rear_center_mid,0.0,-0.844003908892279,0.0,0.0
0.79,0.0,-0.6905579386730369,7.365636344691015e-09,-1.5707963267948966,-0.6905576356269559,-0.7973876227336736,0.0,1.4730560277722134e-08,0.7232773797795837,0.0,-0.6905579386730369,7.365636344691015e-09,-0.6905466110530727,0.1531150304351081,rear_center_mid,0.0,-0.8420039667977353,0.0,0.0
0.8,0.0,-0.6890217082243222,7.350444021457792e-09,-1.5707963267948966,-0.6890213005773237,-0.7956137366091883,0.0,1.4700551340512882e-08,0.7247410956121322,0.0,-0.6890217082243222,7.350444021457792e-09,-0.6890098989851811,0.1542487268782977,rear_center_mid,0.0,-0.8400040180353034,0.0,0.0
0.81,0.0,-0.6874736042547099,7.334335287635007e-09,-1.5707963267948966,-0.6874731548979753,-0.7938261401238346,0.0,1.4668767849513103e-08,0.7262097905844763,0.0,-0.6874736042547099,7.334335287635007e-09,-0.6874616365155067,0.1554098551065308,rear_center_mid,0.0,-0.8380040538853776,0.0,0.0
0.8200000000000001,0.0,-0.6859134585340041,7.318287419333721e-09,-1.5707963267948966,-0.6859130502364628,-0.7920246390220027,0.0,1.4637079608645986e-08,0.7276835003448328,0.0,-0.6859134585340041,7.318287419333721e-09,-0.6859017018830504,0.1565675092346452,rear_center_mid,0.0,-0.8360041051899806,0.0,0.0
0.8300000000000001,0.0,-0.6843414728914603,7.303233406036371e-09,-1.5707963267948966,-0.6843412014485438,-0.7902094663559379,0.0,1.4607278277135346e-08,0.7291619171399076,0.0,-0.6843414728914603,7.303233406036371e-09,-0.6843302863308138,0.1576925019139918,rear_center_mid,0.0,-0.8340041922217784,0.0,0.0
0.84,0.0,-0.6827582655107558,7.289887973468025e-09,-1.5707963267948966,-0.6827581571043979,-0.7883813359425836,0.0,1.4580740901394876e-08,0.7306444249912216,0.0,-0.6827582655107558,7.289887973468025e-09,-0.6827478518447706,0.1587606587159451,rear_center_mid,0.0,-0.8320041910057869,0.0,0.0
0.85,0.0,-0.681164630463139,7.278616453357006e-09,-1.5707963267948966,-0.6811647057291288,-0.7865411646963972,0.0,1.4558175185430681e-08,0.7321301935785937,0.0,-0.681164630463139,7.278616453357006e-09,-0.6811550731564949,0.1597573884235203,rear_center_mid,0.0,-0.8300042519973474,0.0,0.0
0.86,0.0,-0.6795614318244936,7.2693719376175065e-09,-1.5707963267948966,-0.6795617206270513,-0.7846899503662711,0.0,1.4539490948493711e-08,0.7336183263731226,0.0,-0.6795614318244936,7.2693719376175065e-09,-0.6795527040763002,0.1606830965587113,rear_center_mid,0.0,-0.8280043526599635,0.0,0.0
0.87,0.0,-0.6779495650926259,7.2617037735970035e-09,-1.5707963267948966,-0.6779499959051906,-0.7828287269840566,0.0,1.4523819245094592e-08,0.7351080137273966,0.0,-0.6779495650926259,7.2617037735970035e-09,-0.6779414112253207,0.1615516097021763,rear_center_mid,0.0,-0.8260043197855175,0.0,0.0
0.88,0.0,-0.6763296274904861,7.254840288498958e-09,-1.5707963267948966,-0.6763300886660865,-0.7809581841635019,0.0,1.4509675414225758e-08,0.7365986763660833,0.0,-0.6763296274904861,7.254840288498958e-09,-0.6763216718822567,0.1623864352481685,rear_center_mid,0.0,-0.824004411699999,0.0,0.0
